Baumuster,VehicleName,Status
1183101,CLA 180 d Coupé,FAIL
2132191,E 300 d 4MATIC T-Modell,FAIL
2132231,E 400 d 4MATIC T-Modell,FAIL
1183121,CLA 200 d Coupé,FAIL
1183131,CLA 200 d 4MATIC Coupé,FAIL
2132271,E 400 d 4MATIC T-Modell All-Terrain,FAIL
1183141,CLA 220 d Coupé,FAIL
2132531,E 300 e T-Modell,FAIL
1183461,CLA 250 Coupé,FAIL
2132601,E 450 4MATIC T-Modell All-Terrain,FAIL
1183471,CLA 250 4MATIC Coupé,FAIL
2132611,Mercedes-AMG E 53 4MATIC+ T-Modell,FAIL
1183511,Mercedes-AMG CLA 35 4MATIC Coupé,FAIL
2132791,E 200 4MATIC T-Modell All-Terrain,FAIL
1183541,Mercedes-AMG CLA 45 S 4MATIC+ Coupé,FAIL
2132801,E 200 T-Modell,FAIL
1183841,CLA 180 Coupé,FAIL
2132871,E 200 4MATIC T-Modell,FAIL
1183861,CLA 250 e Coupé,FAIL
2132891,Mercedes-AMG E 63 S 4MATIC+ T-Modell,FAIL
1183871,CLA 200 Coupé,FAIL
1183881,CLA 200 4MATIC Coupé,FAIL
2230301,S 350 d Limousine,FAIL
1186101,CLA 180 d Shooting Brake,FAIL
2230311,S 350 d 4MATIC Limousine,FAIL
1186121,CLA 200 d Shooting Brake,FAIL
1186131,CLA 200 d 4MATIC Shooting Brake,FAIL
1186141,CLA 220 d Shooting Brake,FAIL
1186461,CLA 250 Shooting Brake,PASS
2230611,S 450 4MATIC Limousine,FAIL
2230631,S 500 4MATIC Limousine,PASS
1186471,CLA 250 4MATIC Shooting Brake,FAIL
2230661,S 450 e Limousine,PASS
1186511,Mercedes-AMG CLA 35 4MATIC Shooting Brake,FAIL
2230681,S 580 e Limousine,FAIL
2230691,S 580 e 4MATIC Limousine,FAIL
1186841,CLA 180 Shooting Brake,FAIL
2230761,S 580 4MATIC Limousine,FAIL
1186861,CLA 250 e Shooting Brake,FAIL
2231311,S 350 d 4MATIC Limousine lang,FAIL
1186871,CLA 200 Shooting Brake,FAIL
2231331,S 400 d 4MATIC Limousine lang,FAIL
1671091,GLE 300 d 4MATIC,PASS
2231611,S 450 4MATIC Limousine lang,PASS
1671171,GLE 350 de 4MATIC,PASS
2231631,S 500 4MATIC Limousine lang,PASS
1671231,GLE 350 de 4MATIC,FAIL
2231661,S 500 4MATIC Limousine lang,FAIL
